RteUid,RsgUid,txtDesig,txtLocDesig,DpnUidSta,NdbUidSta,VorUidSta,DpnUidEnd,NdbUidEnd,VorUidEnd,codeIdSta,geoLatSta,geoLongSta,codeIdEnd,geoLatEnd,geoLongEnd,valMagTrack,newvalMagTrack,valReversMagTrack,newvalReverseMagTrack,valLen,newValLen
332145,393435,A403,HL-FK,393427,,,393430,,,VONTI,-1.8122222222222222,15.445555555555556,LISIT,-3.0,15.370000000000001,185.0,183.0,5.0,3.0,70,71
332145,393437,A403,HL-FK,393430,,,,,324140,LISIT,-3.0,15.370000000000001,BZ,-4.251452777777778,15.247194444444444,185.0,186.0,5.0,6.0,76,75
332149,393657,A600,DR-GQ,,,324173,325396,,,KAY,14.479083333333334,-11.42175,ENDEM,13.763333333333334,-10.171666666666667,125.0,124.0,305.0,304.0,84,85
332155,400937,A604,DA-FC,322239,,,322359,,,MIMBA,13.083222222222222,8.3925,OBUDU,6.17,9.25,174.0,173.0,354.0,353.0,63,416
332159,402716,L433,DX-FZ,322506,,,321873,,,POLTO,6.4917,2.75,IKROP,5.778888888888889,8.874305555555557,71.0,97.0,251.0,277.0,37,368
332167,401485,B600,GQ-FO,327262,,,326707,,,GULAV,11.166666666666666,-14.9,MEGOT,5.8116666666666665,-7.441666666666667,149.0,131.0,329.0,311.0,35,547
332167,495013,B600,GQ-FO,495002,,,401493,,,ONESI,5.391111111111112,-2.7544444444444443,EBULI,2.0105555555555554,6.583333333333333,89.0,112.0,269.0,292.0,63,595
332177,400071,B732,FO-FC,327571,,,,,324140,VORAX,-4.5377777777777775,13.577222222222222,BZ,-4.251452777777778,15.247194444444444,82.0,81.0,262.0,261.0,103,102
332183,400178,G660,DR-FT,321825,,,322011,,,GULEN,13.136555555555555,4.122527777777777,KELAK,12.088333333333335,14.632777777777779,102.0,94.0,282.0,274.0,619,620
332189,401278,G856,FO-FO,401271,,,,,324140,EBSIX,-3.431408888888889,14.248659166666666,BZ,-4.251452777777778,15.247194444444444,130.0,130.0,310.0,310.0,78,77
332195,402046,G859,DA-DI,402034,,,325408,,,TUMUT,11.0,-1.9783333333333335,AMSAT,9.0,-2.6641666666666666,201.0,201.0,21.0,21.0,56,126
332215,401791,R983,DG-DX,401783,,,401786,,,UMOVO,11.0,-0.895,PAMPA,8.0,0.5666666666666667,154.0,156.0,334.0,336.0,63,199
332227,393443,UA400,DI-FM,325945,,,322530,,,EGADU,4.860555555555555,-3.0,RAMOR,0.4405555555555556,6.583333333333333,,117.0,,297.0,0,633
332227,406012,UA400,DI-FM,393202,,,321750,,,ARAKI,-5.3,10.733333333333333,GADNO,-17.216666666666665,41.7,,121.0,,301.0,0,1955
