RteUid,RsgUid,txtDesig,txtLocDesig,DpnUidSta,NdbUidSta,VorUidSta,DpnUidEnd,NdbUidEnd,VorUidEnd,codeIdSta,geoLatSta,geoLongSta,codeIdEnd,geoLatEnd,geoLongEnd,valMagTrack,newvalMagTrack,valReversMagTrack,newvalReverseMagTrack,valLen,newValLen
332143,332505,A401,TH-FM,326515,,,326164,,,KINAN,-10.742891666666665,42.43564722222222,GALBA,-13.3675,44.49527777777778,149.0,150.0,329.0,330.0,198,198
332145,332533,A403,HL-FK,322722,,,325390,,,TUMMO,22.0,14.671666666666667,AMDIR,19.05666666666667,14.785277777777777,176.0,175.0,356.0,355.0,176,176
332145,332549,A403,HL-FK,327493,,,326692,,,UMOSA,8.0,15.432222222222222,LURTI,4.843333333333333,15.726944444444445,174.0,173.0,354.0,353.0,189,189
332145,332551,A403,HL-FK,326692,,,,,324134,LURTI,4.843333333333333,15.726944444444445,BT,4.229353416666667,15.783840388888889,174.0,173.0,354.0,353.0,37,37
332145,393425,A403,HL-FK,326797,,,,,380784,MOROS,2.8066666666666666,15.715277777777777,CF,-0.021500972222222223,15.579165166666666,183.0,182.0,3.0,2.0,169,169
332145,393435,A403,HL-FK,393427,,,393430,,,VONTI,-1.8122222222222222,15.445555555555556,LISIT,-3.0,15.370000000000001,185.0,183.0,5.0,3.0,70,71
332145,393437,A403,HL-FK,393430,,,,,324140,LISIT,-3.0,15.370000000000001,BZ,-4.251452777777778,15.247194444444444,185.0,186.0,5.0,6.0,76,75
332147,393378,A410,FC-FE,,,324140,393366,,,BZ,-4.251452777777778,15.247194444444444,INEBA,-3.0602777777777774,15.713333333333333,22.0,21.0,202.0,201.0,76,76
332147,393391,A410,FC-FE,393366,,,393369,,,INEBA,-3.0602777777777774,15.713333333333333,GALNI,-1.9644444444444444,16.12777777777778,21.0,20.0,201.0,200.0,70,70
332147,393381,A410,FC-FE,393369,,,327514,,,GALNI,-1.9644444444444444,16.12777777777778,LUSKA,-0.5508333333333334,16.661944444444444,21.0,20.0,201.0,200.0,90,90
332147,393385,A410,FC-FE,327256,,,327205,,,SERAL,2.3491666666666666,17.75722222222222,SABSA,3.1241666666666665,18.050555555555555,20.0,19.0,200.0,199.0,50,50
