RsgUid,RteUid,txtDesig,txtLocDesig,DpnUidSta,codeIdSta,geoLatSta,geoLongSta,DpnUidEnd,codeIdEnd,geoLatEnd,geoLongEnd,codeType,codeLvl,valDistVerUpper,uomDistVerUpper,codeDistVerUpper,valDistVerLower,uomDistVerLower,codeDistVerLower,valWid,uomWid,codeRepAtcStart,codeRepAtcEnd,valMagTrack,valReversMagTrack,valLen,uomDist,VorUidEnd,VorUidSta,NdbUidEnd,NdbUidSta
332505,332143,A401,TH-FM,326515,KINAN,104434.41S,0422608.33E,326164,GALBA,132203S,0442943E,CONV,L,245,FL,STD,105,FL,STD,80,NM,C,C,150.0,330.0,198.0,NM,,,,
332507,332143,A401,TH-FM,326164,GALBA,132203S,0442943E,326434,IXESA,145203.00S,0454207.00E,CONV,L,245,FL,STD,105,FL,STD,60,NM,C,C,152.0,332.0,114.0,NM,,,,
332509,332143,A401,TH-FM,326434,IXESA,145203.00S,0454207.00E,,MG,153927.00S,0462026.40E,CONV,L,245,FL,STD,055,FL,STD,60,NM,C,C,153.0,333.0,60.0,NM,324197,,,
332511,332143,A401,TH-FM,,MG,153927.00S,0462026.40E,327532,UVGAD,162747.00S,0463421.00E,CONV,L,245,FL,STD,055,FL,STD,40,NM,C,C,176.0,356.0,50.0,NM,,324197,,
332513,332143,A401,TH-FM,327532,UVGAD,162747.00S,0463421.00E,325822,DIRBA,175548.00S,0470000.00E,CONV,L,245,FL,STD,085,FL,STD,40,NM,C,C,178.0,358.0,91.0,NM,,,,
332515,332143,A401,TH-FM,325822,DIRBA,175548.00S,0470000.00E,,TN,181857.80S,0470649.60E,CONV,L,245,FL,STD,115,FL,STD,40,NM,C,C,179.0,359.0,24.0,NM,,,324053,
332517,332143,A401,TH-FM,,TN,181857.80S,0470649.60E,,TNV,184812.00S,0473107.20E,CONV,L,245,FL,STD,115,FL,STD,20,NM,C,C,157.0,337.0,37.0,NM,324266,,,324053
332519,332143,A401,TH-FM,,TNV,184812.00S,0473107.20E,,TE,185708.10S,0481332.50E,CONV,L,245,FL,STD,115,FL,STD,20,NM,C,C,118.0,298.0,41.0,NM,,324266,324044,
332521,332143,A401,TH-FM,,TE,185708.10S,0481332.50E,327373,TIGUR,192821.00S,0500349.00E,CONV,L,245,FL,STD,085,FL,STD,80,NM,C,C,123.0,303.0,109.0,NM,,,,324044
332523,332143,A401,TH-FM,327373,TIGUR,192821.00S,0500349.00E,326248,GODAT,195949.00S,0520000.00E,CONV,L,245,FL,STD,085,FL,STD,80,NM,C,C,123.0,303.0,114.0,NM,,,,
332525,332143,A401,TH-FM,326248,GODAT,195949.00S,0520000.00E,327502,UNKIK,201428.50S,0525604.70E,CONV,L,245,FL,STD,085,FL,STD,80,NM,C,C,123.0,303.0,55.0,NM,,,,
332533,332145,A403,HL-FK,322722,TUMMO,220000.00N,0144018.00E,325390,AMDIR,190324.00N,0144707.00E,CONV,L,245,FL,STD,095,FL,STD,100,NM,OTHER,C,176.0,356.0,176.0,NM,,,,
332535,332145,A403,HL-FK,325390,AMDIR,190324.00N,0144707.00E,327229,SEMOK,160000.00N,0145358.00E,CONV,L,245,FL,STD,095,FL,STD,100,NM,C,C,176.0,356.0,183.0,NM,,,,
332537,332145,A403,HL-FK,327229,SEMOK,160000.00N,0145358.00E,325792,DEVGU,143904.10N,0145654.45E,CONV,L,245,FL,STD,065,FL,STD,100,NM,C,C,176.0,356.0,81.0,NM,,,,
332539,332145,A403,HL-FK,325792,DEVGU,143904.10N,0145654.45E,325765,DEPOS,132848.4728N,0145926.2136E,CONV,L,245,FL,STD,065,FL,STD,100,NM,C,C,176.0,356.0,70.0,NM,,,,
